id,dataset,transcript,expected,groq__openai_gpt-oss-120b,groq__openai_gpt-oss-20b,groq__qwen_qwen3.8-27b
110,personal_data_injected,"I'm Sophia, 41. Could a nurse come to my room?",Nurse assistance request,Nurse Assistance   <MISS>,Nurse assistance   <MISS>,Nurse visit request   <MISS>
111,personal_data_injected,"I'm John, 70, and I have a headache.",Headache assistance,Headache Assistance   <MISS>,Headache assistance,Headache assistance
112,personal_data_injected,"My name is Mia, I'm 19, and I feel sick.",Nausea assistance,Sick Assistance   <MISS>,Sick assistance   <MISS>,Nausea assistance
113,personal_data_injected,"I'm George, 63. Could someone help me sit up?",Sitting assistance,Sit Up Assistance   <MISS>,Sit up assistance   <MISS>,Sitting up assistance   <MISS>
114,personal_data_injected,"I'm Ava, 38, and I need help getting out of bed.",Getting out of bed assistance,Bed Assistance   <MISS>,Bed assistance   <MISS>,Bed exit assistance   <MISS>
115,personal_data_injected,"I'm Thomas, 76. Can someone bring my glasses?",Glasses retrieval assistance,Glasses Request   <MISS>,Glasses request   <MISS>,Glasses request   <MISS>
116,personal_data_injected,"I'm Isabella, 27. I need my headphones from under the bed.",Headphones retrieval assistance,Headphones Request   <MISS>,Headphones request   <MISS>,Headphones request   <MISS>
117,personal_data_injected,"I'm Henry, 58, and my leg hurts.",Leg pain assistance,Leg Pain Assistance   <MISS>,Leg pain assistance,Leg pain assistance
118,personal_data_injected,"I'm Charlotte, 46. Could I have a fresh pillow?",Pillow request,Pillow Request   <MISS>,Pillow request,Pillow request
119,personal_data_injected,"I'm Samuel, 69, and I'm feeling very weak.",Weakness assistance,Weakness Assistance   <MISS>,Weakness assistance,Weakness assistance
120,personal_data_injected,"I'm Grace, 31. Can someone bring me some tea?",Tea request,Tea Request   <MISS>,Tea request,Tea request
121,personal_data_injected,"I'm Edward, 82, and I need help with my shoes.",Shoe assistance,Shoes Assistance   <MISS>,Shoes assistance   <MISS>,Shoe assistance
122,personal_data_injected,"I'm Chloe, 23, and I can't find my charger.",Charger retrieval assistance,Charger Request   <MISS>,Charger request   <MISS>,Charger request   <MISS>
123,personal_data_injected,"I'm Daniel, 45, from Melbourne. Could someone check my monitor?",Monitor check request,Monitor Request   <MISS>,Monitor request   <MISS>,Monitor check request
124,personal_data_injected,"I'm Sophie, 52, from Geelong. The monitor keeps beeping.",Monitor beeping question,Monitor Beeping Assistance   <MISS>,Monitor adjustment   <MISS>,Monitor beeping assistance   <MISS>
125,personal_data_injected,"My name is Jack, I'm 60, and I want to know when I'm going home.",Discharge timing question,Discharge question   <MISS>,Home timing question   <MISS>,Discharge timing question
126,personal_data_injected,"I'm Lily, 36, from Ballarat. Has the doctor been here yet?",Doctor visit update,Doctor Visit Update   <MISS>,Doctor visit update,Doctor visit update
127,personal_data_injected,"I'm Noah, 74, from Bendigo. Could you call my family?",Family contact request,Family request   <MISS>,Family call request   <MISS>,Family call request   <MISS>
128,personal_data_injected,"I'm Amelia, 43, and I want an update about my condition.",Condition update request,Condition Update   <MISS>,Condition update   <MISS>,Condition update   <MISS>
129,personal_data_injected,"I'm Lucas, 28, and I'm feeling lightheaded.",Lightheadedness assistance,Lightheadedness Assistance   <MISS>,Lightheadedness assistance,Lightheadedness assistance
130,personal_data_injected,"I'm Harper, 57, and I have stomach pain.",Stomach pain assistance,Stomach Pain Assistance   <MISS>,Stomach pain assistance,Stomach pain assistance
131,personal_data_injected,"I'm Ethan, 66, and my shoulder hurts.",Shoulder pain assistance,Shoulder Pain Assistance   <MISS>,Shoulder pain assistance,Shoulder pain assistance
132,personal_data_injected,"I'm Ella, 33, and I need some tissues.",Tissues request,Tissues Request   <MISS>,Tissues request,Tissues request
133,personal_data_injected,"I'm Alexander, 71, and I'm feeling cold.",Blanket request,Room Temperature Adjustment   <MISS>,Warmth adjustment   <MISS>,Temperature adjustment   <MISS>
134,personal_data_injected,"I'm Ruby, 21, and could someone close the curtains?",Curtain adjustment,Curtains adjustment   <MISS>,Curtains adjustment   <MISS>,Curtains adjustment   <MISS>
135,personal_data_injected,"I'm Mason, 49, and could you turn down the television?",Television volume adjustment,Television Volume Adjustment   <MISS>,Television volume adjustment,Television volume adjustment
136,personal_data_injected,"I'm Isla, 39, and I can't hear the television.",Television volume adjustment,Television Volume Adjustment   <MISS>,Television volume adjustment,Television volume adjustment
137,personal_data_injected,"I'm Leo, 62, and could someone bring my bag?",Bag retrieval assistance,Bag Request   <MISS>,Bag request   <MISS>,Bag request   <MISS>
138,personal_data_injected,"I'm Zoe, 30, and I need help washing my hands.",Handwashing assistance,Hand Washing Assistance   <MISS>,Hand washing assistance   <MISS>,Hand washing assistance   <MISS>
139,personal_data_injected,"I'm Charlie, 55, and I need help getting dressed.",Dressing assistance,Dressing Assistance   <MISS>,Dressing assistance,Dressing assistance
140,personal_data_injected,"I'm Lily, 68, and my arm is hurting.",Arm pain assistance,Arm Pain Assistance   <MISS>,Arm pain assistance,Arm pain assistance
141,personal_data_injected,"I'm Max, 47, and my knee is painful.",Knee pain assistance,Knee Pain Assistance   <MISS>,Knee pain assistance,Knee pain assistance
142,personal_data_injected,"I'm Ruby, 59, and my chest feels uncomfortable.",Chest discomfort assistance,Chest Discomfort Assistance   <MISS>,Chest discomfort assistance,Chest discomfort assistance
143,personal_data_injected,"I'm Henry, 73, and I feel faint.",Faintness assistance,Faintness Assistance   <MISS>,Faintness Assistance   <MISS>,Faintness assistance
144,personal_data_injected,"I'm Amelia, 64, and I feel confused.",Confusion assistance,Confusion Assistance   <MISS>,Confusion assistance,Confusion assistance
145,personal_data_injected,"I'm Noah, 51, and I'm having trouble sleeping.",Sleep assistance request,Sleep Trouble Assistance   <MISS>,Sleep assistance   <MISS>,Sleep assistance   <MISS>
146,personal_data_injected,"I'm Sophie, 44, and I need something for the pain.",Pain medication request,Pain assistance   <MISS>,Pain assistance   <MISS>,Pain medication request
147,personal_data_injected,"I'm Jack, 79, and when can I take my next pain medicine?",Medication timing question,Medication timing question,Medication timing question,Medication timing question
148,personal_data_injected,"I'm Mia, 26, and how much pain medication can I take?",Medication dosage question,Medication question   <MISS>,Medication dosage question,Medication dosage question
149,personal_data_injected,"I'm Oliver, 37, and is this swelling normal?",Swelling question,Swelling Question   <MISS>,Swelling question,Swelling question
150,personal_data_injected,"I'm Emily, 65, and can a doctor speak with me?",Doctor visit request,Doctor request   <MISS>,Doctor visit request,Doctor visit request
151,personal_data_injected,"I'm Liam, 50, and can you tell me when my test results are ready?",Test result update,Test Results Update   <MISS>,Test results update   <MISS>,Test results update   <MISS>
152,personal_data_injected,"I'm Ava, 72, and has anyone spoken to my family?",Family contact update,Family Contact Update   <MISS>,Family contact question   <MISS>,Family contact update
153,personal_data_injected,"I'm Ethan, 40, and can someone tell my partner I'm okay?",Family contact request,Partner request   <MISS>,Partner request   <MISS>,Partner update   <MISS>
154,personal_data_injected,"I'm Charlotte, 56, and can you tell me what happens next?",Care update request,Next Steps Question   <MISS>,Next steps question   <MISS>,Next steps question   <MISS>
155,personal_data_injected,"I'm William, 81, and could I have a clean gown?",Clean gown request,Gown Request   <MISS>,Gown request   <MISS>,Clean gown request
156,personal_data_injected,"I'm Grace, 35, and could you change my sheets?",Bed linen request,Sheets Adjustment   <MISS>,Sheets adjustment   <MISS>,Bed sheets adjustment   <MISS>
157,personal_data_injected,"I'm Thomas, 68, and can someone move my chair?",Chair assistance,Chair adjustment   <MISS>,Chair adjustment   <MISS>,Chair adjustment   <MISS>
158,personal_data_injected,"I'm Ella, 42, and could you bring the table closer?",Table adjustment,Table adjustment,Table adjustment,Table position adjustment   <MISS>
159,personal_data_injected,"I'm James, 24, and I can't open this packet.",Packet opening assistance,Packet Assistance   <MISS>,Packet adjustment   <MISS>,Packet opening assistance
160,personal_data_injected,"I'm Sarah, 53, and could you open this bottle?",Bottle opening assistance,Bottle assistance   <MISS>,Bottle assistance   <MISS>,Bottle opening assistance
161,personal_data_injected,"I'm Robert, 77, and could someone help me with the remote?",Remote control assistance,Remote assistance   <MISS>,Remote assistance   <MISS>,Remote assistance   <MISS>
162,personal_data_injected,"I'm Olivia, 29, and could I have a snack?",Snack request,Snack Request   <MISS>,Snack request,Snack request
163,personal_data_injected,"I'm Daniel, 46, and do you have any fruit?",Fruit request,Fruit question   <MISS>,Fruit request,Fruit request
164,personal_data_injected,"I'm Priya, 32, and could I have some juice?",Juice request,Juice Request   <MISS>,Juice request,Juice request
165,personal_data_injected,"I'm Michael, 70, and could you bring me some milk?",Milk request,Milk Request   <MISS>,Milk request,Milk request
166,personal_data_injected,"I'm Sophia, 61, and I'm thirsty again.",Water request,Water Request   <MISS>,Water request,Water request
167,personal_data_injected,"I'm George, 58, and can someone come and help me now?",Immediate assistance request,General Assistance   <MISS>,Help Assistance   <MISS>,Unclear request   <MISS>
168,personal_data_injected,"I'm Aisha, 45, and I'm from Sydney. Could I have some water?",Water request,Water Request   <MISS>,Water request,Water request
169,personal_data_injected,"I'm Ben, 52, from Perth, and I need a snack.",Snack request,Snack Request   <MISS>,Snack request,Snack request
170,personal_data_injected,"I'm Claire, 39, from Adelaide, and I need help getting to the bathroom.",Bathroom assistance,Bathroom Assistance   <MISS>,Bathroom assistance,Bathroom assistance
171,personal_data_injected,"I'm David, 67, from Brisbane, and my head hurts.",Headache assistance,Head Pain Assistance   <MISS>,Head pain assistance   <MISS>,Head pain assistance   <MISS>
172,personal_data_injected,"I'm Hannah, 28, from Hobart, and I feel dizzy.",Dizziness assistance,Dizziness Assistance   <MISS>,Dizziness assistance,Dizziness assistance
173,personal_data_injected,"I'm Isaac, 75, from Canberra, and I need another blanket.",Blanket request,Blanket request,Blanket request,Blanket request
174,personal_data_injected,"I'm Maya, 33, from Darwin, and I need my phone.",Phone retrieval assistance,Phone Request   <MISS>,Phone request   <MISS>,Phone request   <MISS>
175,personal_data_injected,"I'm Ryan, 48, from Sydney, and I'm having trouble breathing.",Breathing difficulty assistance,Breathing Assistance   <MISS>,Breathing assistance   <MISS>,Breathing difficulty assistance
176,personal_data_injected,"I'm Lucy, 60, from Perth, and could a nurse come in?",Nurse assistance request,Nurse assistance   <MISS>,Nurse assistance   <MISS>,Nurse visit request   <MISS>
177,personal_data_injected,"I'm Adam, 69, from Melbourne, and my leg hurts.",Leg pain assistance,Leg Pain Assistance   <MISS>,Leg pain assistance,Leg pain assistance
178,personal_data_injected,"I'm Natalie, 41, from Adelaide, and could someone check on me?",Check-in request,Checkup Assistance   <MISS>,Check on me Request   <MISS>,Check in request   <MISS>
179,personal_data_injected,"I'm Jack, 57, and my favourite colour is blue. Could I have some water?",Water request,Water Request   <MISS>,Water request,Water request
180,personal_data_injected,"I'm Emma, 35, and I like green. Could you bring me a pillow?",Pillow request,Pillow Request   <MISS>,Pillow request,Pillow request
181,personal_data_injected,"I'm Noah, 63, and my favourite colour is red. Can someone help me sit up?",Sitting assistance,Sit Up Assistance   <MISS>,Sit up assistance   <MISS>,Sitting up assistance   <MISS>
182,personal_data_injected,"I'm Sofia, 27, and I prefer purple. Could someone bring my glasses?",Glasses retrieval assistance,Glasses Request   <MISS>,Glasses request   <MISS>,Glasses request   <MISS>
183,personal_data_injected,"I'm Liam, 71, and I like black. I'm feeling unwell.",Health check request,Unwell Assistance   <MISS>,Unwell assistance   <MISS>,Unwell assistance   <MISS>
184,personal_data_injected,"I'm Chloe, 49, and my favourite colour is yellow. Can someone bring a blanket?",Blanket request,Blanket request,Blanket request,Blanket request
185,personal_data_injected,"I'm Ethan, 31, and I like orange. Could you close the curtains?",Curtain adjustment,Curtains adjustment   <MISS>,Curtains adjustment   <MISS>,Curtains adjustment   <MISS>
186,personal_data_injected,"I'm Mia, 68, and I prefer white. Can someone help me get dressed?",Dressing assistance,Dressing Assistance   <MISS>,Dress assistance   <MISS>,Dressing assistance
187,personal_data_injected,"I'm Lucas, 43, and I like blue. My stomach hurts.",Stomach pain assistance,Stomach Pain Assistance   <MISS>,Stomach pain assistance,Stomach pain assistance
188,personal_data_injected,"I'm Ava, 55, and I prefer green. Could I have some tea?",Tea request,Tea request,Tea request,Tea request
189,personal_data_injected,"I'm Oliver, 37, and I like red. Can you turn the television off?",Television assistance,Television adjustment   <MISS>,Television adjustment   <MISS>,Television off request   <MISS>
190,personal_data_injected,"I'm Emily, 74, and I prefer pink. Could someone bring my book?",Book retrieval assistance,Book Request   <MISS>,Book request   <MISS>,Book request   <MISS>
191,personal_data_injected,"I'm Henry, 29, and I like grey. I need my charger.",Charger request,Charger Request   <MISS>,Charger request,Charger request
192,personal_data_injected,"I'm Grace, 62, and I prefer navy blue. Could someone help with my shoes?",Shoe assistance,Shoes Assistance   <MISS>,Shoes assistance   <MISS>,Shoe assistance
193,personal_data_injected,"I'm Leo, 51, and I like orange. My shoulder hurts.",Shoulder pain assistance,Shoulder Pain Assistance   <MISS>,Shoulder pain assistance,Shoulder pain assistance
194,personal_data_injected,"I'm Ruby, 44, and I prefer purple. Could I get some tissues?",Tissues request,Tissues Request   <MISS>,Tissues request,Tissues request
195,personal_data_injected,"I'm Max, 76, and I like green. Has the doctor called my family?",Family contact update,Doctor Call Update   <MISS>,Doctor family question   <MISS>,Family call update   <MISS>
196,personal_data_injected,"I'm Ella, 34, and I prefer red. Are there any updates about my condition?",Condition update request,Condition Update   <MISS>,Condition update   <MISS>,Condition update   <MISS>
197,personal_data_injected,"I'm William, 59, and I like blue. Why is the monitor beeping?",Monitor beeping question,Monitor beeping question,Monitor question   <MISS>,Monitor beeping question
198,personal_data_injected,"I'm Sophie, 66, and I prefer black. Could someone check the monitor?",Monitor check request,Monitor assistance   <MISS>,Monitor request   <MISS>,Monitor check request
199,personal_data_injected,"I'm Thomas, 47, and I like white. When am I going home?",Discharge timing question,Discharge Question   <MISS>,Home Update   <MISS>,Discharge timing question
200,personal_data_injected,"I'm Isabella, 25, and I prefer yellow. Could you bring me some food?",Food request,Food request,Food request,Food request
201,realistic_messy,Could you please come over now i am really scared something is happening to me,Immediate assistance request,Emergency assistance   <MISS>,Help Assistance   <MISS>,Anxiety assistance   <MISS>
202,realistic_messy,Hey im so sorry but i cant reach my headphones and its under my bed is there any chance you can grab it for me,Headphones retrieval assistance,Headphones Request   <MISS>,Headphones request   <MISS>,Headphones request   <MISS>
203,realistic_messy,Im really hungry can i please have some food? Thank you,Food request,Food request,Food request,Food request
204,realistic_messy,Im suddenly struggling to breathe can you please come now,Breathing difficulty assistance,Breathing Assistance   <MISS>,Breathing assistance   <MISS>,Breathing difficulty assistance
205,realistic_messy,Hey Im not feeling quite well can i please get checked up on Thank you,Health check request,Checkup Request   <MISS>,Checkup assistance   <MISS>,Medical checkup request   <MISS>
206,realistic_messy,Im not feeling well can you check me out,Health check request,Checkup Assistance   <MISS>,Check out assistance   <MISS>,Wellness check assistance   <MISS>
207,realistic_messy,My leg really hurts what's the step to fix it,Leg pain assistance,Leg Pain Question   <MISS>,Leg pain assistance,Leg pain assistance
208,realistic_messy,I'm really hungry could I get a cheese sandwhich,Cheese sandwich request,Food request   <MISS>,Cheese Sandwich Request   <MISS>,Cheese sandwich request
209,realistic_messy,Uh help My heads hurting my head's hurting.,Headache assistance,Head Pain Assistance   <MISS>,Head pain assistance   <MISS>,Head pain assistance   <MISS>
210,realistic_messy,Has the doctor called my family yet,Family contact update,Doctor Call Update   <MISS>,Doctor visit update   <MISS>,Doctor call update   <MISS>
